time_s,time_h,ppm,flux_mol_m2_s
0,0,30.3911,1.280525e-07
180,0.05,24.5495,1.034390e-07
360,0.1,23.5099,9.905868e-08
540,0.15,18.8069,7.924277e-08
720,0.2,23.5347,9.916297e-08
900,0.25,21.3564,8.998508e-08
1080,0.3,22.9653,9.676421e-08
1260,0.35,17.8168,7.507100e-08
1440,0.4,27.0248,1.138685e-07
1620,0.45,32.1485,1.354574e-07
1800,0.5,26.8267,1.130341e-07
1980,0.55,33.5842,1.415064e-07
2160,0.6,47.4455,1.999112e-07
2340,0.65,42.6436,1.796781e-07
2520,0.7,50.6881,2.135738e-07
2700,0.75,61.0842,2.573774e-07
2880,0.8,68.0891,2.868926e-07
3060,0.85,72.5446,3.056656e-07
3240,0.9,83.5099,3.518679e-07
3420,0.95,93.1881,3.926470e-07
3600,1,98.8317,4.164261e-07
3780,1.05,86.7277,3.654262e-07
3960,1.1,103.238,4.349905e-07
4140,1.15,112.025,4.720149e-07
4320,1.2,113.955,4.801499e-07
4500,1.25,116.653,4.915179e-07
4680,1.3,117.644,4.956897e-07
4860,1.35,130.292,5.489841e-07
5040,1.4,128.064,5.395976e-07
5220,1.45,129.203,5.443951e-07
5400,1.5,135.663,5.716159e-07
5580,1.55,139.252,5.867386e-07
5760,1.6,134.921,5.684871e-07
5940,1.65,145.985,6.151066e-07
6120,1.7,149.673,6.306465e-07
6300,1.75,150.663,6.348183e-07
6480,1.8,152.173,6.411802e-07
6660,1.85,152.495,6.425360e-07
6840,1.9,158.411,6.674624e-07
7020,1.95,161.95,6.823764e-07
7200,2,165.069,6.955175e-07
7380,2.05,159.995,6.741372e-07
7560,2.1,169.55,7.143948e-07
7740,2.15,168.089,7.082414e-07
7920,2.2,161.109,6.788304e-07
8100,2.25,166.876,7.031310e-07
8280,2.3,168.238,7.088672e-07
8460,2.35,164.03,6.911371e-07
8640,2.4,163.832,6.903028e-07
8820,2.45,168.262,7.089715e-07
9000,2.5,164.847,6.945789e-07
9180,2.55,170.317,7.176279e-07
9360,2.6,176.975,7.456830e-07
9540,2.65,179.153,7.548609e-07
9720,2.7,170.094,7.166892e-07
9900,2.75,174.822,7.366094e-07
10080,2.8,175.144,7.379653e-07
10260,2.85,178.807,7.534008e-07
10440,2.9,172.099,7.251371e-07
10620,2.95,177,7.457873e-07
10800,3,177.322,7.471432e-07
10980,3.05,181.554,7.649775e-07
11160,3.1,171.059,7.207567e-07
11340,3.15,178.634,7.526708e-07
11520,3.2,169.673,7.149162e-07
11700,3.25,178.782,7.532965e-07
11880,3.3,181.109,7.631002e-07
12060,3.35,180.267,7.595542e-07
12240,3.4,178.337,7.514192e-07
12420,3.45,181.257,7.637259e-07
12600,3.5,182.347,7.683149e-07
12780,3.55,183.312,7.723824e-07
12960,3.6,174.277,7.343150e-07
13140,3.65,183.46,7.730081e-07
13320,3.7,184.946,7.792658e-07
13500,3.75,184.673,7.781186e-07
13680,3.8,183.559,7.734253e-07
13860,3.85,185.738,7.826032e-07
14040,3.9,181.084,7.629959e-07
14220,3.95,180.762,7.616401e-07
14400,4,183.139,7.716523e-07
