time_s,time_h,ppm,flux_mol_m2_s
0,0,34.9208,1.471383e-07
180,0.05,38.9554,1.641383e-07
360,0.1,36.2327,1.526659e-07
540,0.15,31.6287,1.332672e-07
720,0.2,38.2624,1.612181e-07
900,0.25,34.1782,1.440095e-07
1080,0.3,34.2772,1.444267e-07
1260,0.35,33.0644,1.393163e-07
1440,0.4,33.8317,1.425494e-07
1620,0.45,43.3614,1.827027e-07
1800,0.5,55.9109,2.355799e-07
1980,0.55,75.3911,3.176594e-07
2160,0.6,83.4851,3.517637e-07
2340,0.65,114.772,4.835916e-07
2520,0.7,129.153,5.441865e-07
2700,0.75,139.772,5.889288e-07
2880,0.8,167.817,7.070942e-07
3060,0.85,184.327,7.766584e-07
3240,0.9,195.045,8.218178e-07
3420,0.95,209.599,8.831429e-07
3600,1,232.149,9.781549e-07
3780,1.05,238.485,1.004854e-06
3960,1.1,241.257,1.016535e-06
4140,1.15,250.218,1.054290e-06
4320,1.2,256.926,1.082553e-06
4500,1.25,263.238,1.109149e-06
4680,1.3,278.287,1.172559e-06
4860,1.35,283.98,1.196547e-06
5040,1.4,298.262,1.256725e-06
5220,1.45,296.208,1.248068e-06
5400,1.5,293.064,1.234823e-06
5580,1.55,318.163,1.340577e-06
5760,1.6,308.163,1.298443e-06
5940,1.65,316.703,1.334424e-06
6120,1.7,328.163,1.382712e-06
6300,1.75,326.604,1.376142e-06
6480,1.8,324.401,1.366860e-06
6660,1.85,327.842,1.381357e-06
6840,1.9,332.693,1.401798e-06
7020,1.95,340.267,1.433712e-06
7200,2,341.678,1.439657e-06
7380,2.05,350.317,1.476056e-06
7560,2.1,351.134,1.479497e-06
7740,2.15,344.203,1.450295e-06
7920,2.2,354.723,1.494620e-06
8100,2.25,358.782,1.511724e-06
8280,2.3,345.416,1.455405e-06
8460,2.35,358.683,1.511307e-06
8640,2.4,349.698,1.473448e-06
8820,2.45,352.495,1.485234e-06
9000,2.5,356.95,1.504007e-06
9180,2.55,359.327,1.514019e-06
9360,2.6,361.059,1.521319e-06
9540,2.65,355.96,1.499835e-06
9720,2.7,358.609,1.510994e-06
9900,2.75,360.144,1.517461e-06
10080,2.8,352.891,1.486902e-06
10260,2.85,366.827,1.545620e-06
10440,2.9,357.545,1.506510e-06
10620,2.95,359.327,1.514019e-06
10800,3,351.505,1.481062e-06
10980,3.05,356.505,1.502129e-06
11160,3.1,352.322,1.484504e-06
11340,3.15,357.173,1.504945e-06
11520,3.2,346.777,1.461142e-06
11700,3.25,353.584,1.489823e-06
11880,3.3,352.842,1.486694e-06
12060,3.35,353.832,1.490865e-06
12240,3.4,345.243,1.454675e-06
12420,3.45,361.95,1.525074e-06
12600,3.5,357.074,1.504528e-06
12780,3.55,348.931,1.470215e-06
12960,3.6,360.168,1.517565e-06
13140,3.65,346.134,1.458430e-06
13320,3.7,342.594,1.443516e-06
13500,3.75,350.762,1.477933e-06
13680,3.8,350.639,1.477412e-06
13860,3.85,356.158,1.500669e-06
14040,3.9,350.391,1.476369e-06
14220,3.95,357.371,1.505780e-06
14400,4,352.371,1.484712e-06
