time_s,time_h,ppm,flux_mol_m2_s
0,0,26.6782,1.124083e-07
180,0.05,26.8515,1.131384e-07
360,0.1,19.302,8.132866e-08
540,0.15,28.9307,1.218991e-07
720,0.2,18.9554,7.986854e-08
900,0.25,22.8168,9.613844e-08
1080,0.3,22.7921,9.603415e-08
1260,0.35,30.2673,1.275310e-07
1440,0.4,39.9455,1.683101e-07
1620,0.45,54.6485,2.302608e-07
1800,0.5,79.104,3.333036e-07
1980,0.55,109.03,4.593953e-07
2160,0.6,142.52,6.005054e-07
2340,0.65,184.376,7.768670e-07
2520,0.7,234.871,9.896273e-07
2700,0.75,250.366,1.054915e-06
2880,0.8,298.361,1.257142e-06
3060,0.85,318.337,1.341308e-06
3240,0.9,334.104,1.407743e-06
3420,0.95,352.545,1.485442e-06
3600,1,370.861,1.562620e-06
3780,1.05,385.366,1.623736e-06
3960,1.1,381.158,1.606006e-06
4140,1.15,399.153,1.681828e-06
4320,1.2,400.342,1.686834e-06
4500,1.25,405.193,1.707276e-06
4680,1.3,405.663,1.709258e-06
4860,1.35,418.931,1.765159e-06
5040,1.4,406.678,1.713534e-06
5220,1.45,412.817,1.739399e-06
5400,1.5,417.619,1.759632e-06
5580,1.55,409.426,1.725110e-06
5760,1.6,412.941,1.739920e-06
5940,1.65,413.361,1.741693e-06
6120,1.7,410.391,1.729178e-06
6300,1.75,406.604,1.713221e-06
6480,1.8,413.411,1.741902e-06
6660,1.85,417.545,1.759319e-06
6840,1.9,411.926,1.735644e-06
7020,1.95,410.342,1.728969e-06
7200,2,409.005,1.723337e-06
7380,2.05,411.95,1.735748e-06
7560,2.1,404.673,1.705086e-06
7740,2.15,408.485,1.721147e-06
7920,2.2,418.733,1.764325e-06
8100,2.25,402.371,1.695386e-06
8280,2.3,392.792,1.655025e-06
8460,2.35,405.861,1.710092e-06
8640,2.4,407.668,1.717705e-06
8820,2.45,396.752,1.671712e-06
9000,2.5,404.649,1.704982e-06
9180,2.55,412.817,1.739399e-06
9360,2.6,391.282,1.648663e-06
9540,2.65,403.609,1.700601e-06
9720,2.7,396.653,1.671295e-06
9900,2.75,402.05,1.694031e-06
10080,2.8,406.183,1.711448e-06
10260,2.85,395.614,1.666914e-06
10440,2.9,398.881,1.680681e-06
10620,2.95,401.505,1.691736e-06
10800,3,395.639,1.667018e-06
10980,3.05,399.847,1.684748e-06
11160,3.1,402.52,1.696012e-06
11340,3.15,412.173,1.736687e-06
11520,3.2,404.946,1.706233e-06
11700,3.25,404.228,1.703209e-06
11880,3.3,402.322,1.695178e-06
12060,3.35,408.906,1.722920e-06
12240,3.4,415.738,1.751705e-06
12420,3.45,406.975,1.714785e-06
12600,3.5,410.837,1.731055e-06
12780,3.55,411.332,1.733141e-06
12960,3.6,407.371,1.716454e-06
13140,3.65,406.604,1.713221e-06
13320,3.7,415.812,1.752018e-06
13500,3.75,430.49,1.813865e-06
13680,3.8,423.262,1.783411e-06
13860,3.85,422.446,1.779969e-06
14040,3.9,411.381,1.733350e-06
14220,3.95,420.589,1.772147e-06
14400,4,422.248,1.779135e-06
14580,4.05,418.708,1.764221e-06
14760,4.1,418.658,1.764012e-06
14940,4.15,415.342,1.750037e-06
15120,4.2,428.807,1.806773e-06
15300,4.25,422.149,1.778718e-06
15480,4.3,423.46,1.784245e-06
15660,4.35,410.465,1.729491e-06
15840,4.4,418.931,1.765159e-06
16020,4.45,422.47,1.780073e-06
16200,4.5,431.381,1.817619e-06
16380,4.55,422.124,1.778613e-06
16560,4.6,425.292,1.791963e-06
16740,4.65,422.149,1.778718e-06
16920,4.7,425.49,1.792797e-06
17100,4.75,440.218,1.854852e-06
17280,4.8,441.431,1.859963e-06
17460,4.85,430.342,1.813239e-06
17640,4.9,431.653,1.818767e-06
17820,4.95,431.851,1.819601e-06
18000,5,436.356,1.838583e-06
18180,5.05,427.272,1.800307e-06
18360,5.1,435.119,1.833368e-06
18540,5.15,428.337,1.804791e-06
18720,5.2,429.302,1.808859e-06
18900,5.25,454.104,1.913361e-06
19080,5.3,443.609,1.869141e-06
19260,5.35,437.644,1.844006e-06
19440,5.4,433.04,1.824607e-06
19620,5.45,449.153,1.892503e-06
19800,5.5,423.139,1.782889e-06
19980,5.55,448.559,1.890000e-06
20160,5.6,432.965,1.824294e-06
20340,5.65,436.134,1.837644e-06
20520,5.7,443.98,1.870705e-06
20700,5.75,436.084,1.837435e-06
20880,5.8,431.703,1.818975e-06
21060,5.85,425.292,1.791963e-06
21240,5.9,428.287,1.804583e-06
21420,5.95,434.351,1.830135e-06
21600,6,430.267,1.812926e-06
21780,6.05,431.728,1.819079e-06
21960,6.1,425.713,1.793736e-06
22140,6.15,423.287,1.783515e-06
