time_s,time_h,ppm,flux_mol_m2_s
0,0,17.2228,7.256794e-08
180,0.05,17.495,7.371518e-08
360,0.1,13.6832,5.765386e-08
540,0.15,12.9653,5.462933e-08
720,0.2,14.698,6.192993e-08
900,0.25,15.4406,6.505875e-08
1080,0.3,9.35149,3.940237e-08
1260,0.35,20.0693,8.456178e-08
1440,0.4,25.7624,1.085495e-07
1620,0.45,35.1436,1.480770e-07
1800,0.5,49.005,2.064818e-07
1980,0.55,70.0941,2.953405e-07
2160,0.6,95.2426,4.013034e-07
2340,0.65,118.906,5.010087e-07
2520,0.7,156.381,6.589102e-07
2700,0.75,188.98,7.962658e-07
2880,0.8,215.317,9.072348e-07
3060,0.85,239.079,1.007357e-06
3240,0.9,260.045,1.095695e-06
3420,0.95,280.416,1.181529e-06
3600,1,298.139,1.256203e-06
3780,1.05,309.252,1.303032e-06
3960,1.1,324.426,1.366964e-06
4140,1.15,351.282,1.480123e-06
4320,1.2,342.173,1.441743e-06
4500,1.25,351.48,1.480958e-06
4680,1.3,365.911,1.541761e-06
4860,1.35,370.564,1.561368e-06
5040,1.4,368.163,1.551252e-06
5220,1.45,372.99,1.571589e-06
5400,1.5,375.54,1.582332e-06
5580,1.55,372.421,1.569190e-06
5760,1.6,388.807,1.638233e-06
5940,1.65,378.213,1.593595e-06
6120,1.7,386.233,1.627387e-06
6300,1.75,386.95,1.630411e-06
6480,1.8,400.589,1.687877e-06
6660,1.85,398.436,1.678804e-06
6840,1.9,383.213,1.614663e-06
7020,1.95,384.574,1.620399e-06
7200,2,386.381,1.628012e-06
7380,2.05,390.317,1.644595e-06
7560,2.1,379.129,1.597454e-06
7740,2.15,385.069,1.622485e-06
7920,2.2,382.173,1.610282e-06
8100,2.25,384.847,1.621546e-06
8280,2.3,380.02,1.601209e-06
8460,2.35,390.416,1.645012e-06
8640,2.4,385.762,1.625405e-06
8820,2.45,382.99,1.613724e-06
9000,2.5,380.96,1.605172e-06
9180,2.55,377.05,1.588693e-06
9360,2.6,371.752,1.566375e-06
9540,2.65,381.455,1.607258e-06
9720,2.7,374.574,1.578264e-06
9900,2.75,368.559,1.552921e-06
10080,2.8,377.371,1.590049e-06
10260,2.85,377.099,1.588902e-06
10440,2.9,368.213,1.551460e-06
10620,2.95,371.95,1.567209e-06
10800,3,382.569,1.611951e-06
10980,3.05,390.366,1.644804e-06
11160,3.1,378.386,1.594325e-06
11340,3.15,377.619,1.591092e-06
11520,3.2,380.094,1.601522e-06
11700,3.25,392.891,1.655442e-06
11880,3.3,393.955,1.659926e-06
12060,3.35,401.059,1.689859e-06
12240,3.4,396.406,1.670252e-06
12420,3.45,402.396,1.695491e-06
12600,3.5,407.866,1.718540e-06
12780,3.55,398.856,1.680577e-06
12960,3.6,407.693,1.717810e-06
13140,3.65,405.49,1.708528e-06
13320,3.7,410.168,1.728239e-06
13500,3.75,428.609,1.805938e-06
