time_s,time_h,ppm,flux_mol_m2_s
13680,3.8,418.559,1.763595e-06
13860,3.85,424.649,1.789251e-06
14040,3.9,426.629,1.797595e-06
14220,3.95,425.936,1.794675e-06
14400,4,440.985,1.858086e-06
14580,4.05,436.059,1.837331e-06
14760,4.1,438.114,1.845987e-06
14940,4.15,441.678,1.861006e-06
15120,4.2,443.114,1.867055e-06
15300,4.25,444.054,1.871018e-06
15480,4.3,435.391,1.834515e-06
15660,4.35,437.223,1.842233e-06
15840,4.4,443.881,1.870288e-06
16020,4.45,430.886,1.815533e-06
16200,4.5,448.832,1.891147e-06
16380,4.55,448.609,1.890208e-06
16560,4.6,460.861,1.941834e-06
16740,4.65,470.465,1.982300e-06
16920,4.7,443.782,1.869871e-06
17100,4.75,447.99,1.887601e-06
17280,4.8,450.861,1.899699e-06
17460,4.85,454.574,1.915343e-06
17640,4.9,448.163,1.888331e-06
17820,4.95,463.757,1.954036e-06
18000,5,453.609,1.911276e-06
18180,5.05,463.955,1.954871e-06
18360,5.1,462.198,1.947466e-06
18540,5.15,453.436,1.910546e-06
18720,5.2,455.787,1.920453e-06
18900,5.25,459.525,1.936202e-06
19080,5.3,454.203,1.913779e-06
19260,5.35,465.02,1.959355e-06
19440,5.4,458.04,1.929944e-06
19620,5.45,454.649,1.915656e-06
19800,5.5,448.658,1.890417e-06
19980,5.55,459.525,1.936202e-06
20160,5.6,452.173,1.905227e-06
20340,5.65,456.604,1.923895e-06
20520,5.7,445.787,1.878319e-06
20700,5.75,443.46,1.868515e-06
20880,5.8,464.079,1.955392e-06
21060,5.85,456.579,1.923791e-06
21240,5.9,465.292,1.960502e-06
21420,5.95,445.861,1.878631e-06
21600,6,458.213,1.930674e-06
21780,6.05,455.465,1.919098e-06
21960,6.1,446.579,1.881656e-06
22140,6.15,453.064,1.908981e-06
22320,6.2,454.896,1.916699e-06
22500,6.25,442.074,1.862674e-06
22680,6.3,446.332,1.880613e-06
22860,6.35,457.916,1.929423e-06
23040,6.4,446.455,1.881135e-06
23220,6.45,455.564,1.919515e-06
23400,6.5,442.025,1.862466e-06
23580,6.55,483.485,2.037159e-06
23760,6.6,459.178,1.934742e-06
23940,6.65,453.361,1.910233e-06
24120,6.7,448.238,1.888644e-06
24300,6.75,444.5,1.872895e-06
24480,6.8,446.282,1.880404e-06
24660,6.85,445.243,1.876024e-06
24840,6.9,452.05,1.904705e-06
25020,6.95,448.188,1.888435e-06
25200,7,442.891,1.866116e-06
25380,7.05,440.094,1.854331e-06
25560,7.1,449.426,1.893650e-06
25740,7.15,446.926,1.883116e-06
25920,7.2,446.629,1.881865e-06
26100,7.25,442.792,1.865699e-06
26280,7.3,433.832,1.827944e-06
26460,7.35,454.277,1.914092e-06
